ARG, Deaths (period 1x5), 	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age             Female            Male           Total
2005-2009      105               140.66           30.56          171.22
2005-2009      106                75.26           16.34           91.60
2005-2009      107                38.98            8.55           47.53
2005-2009      108                19.81            4.37           24.18
2005-2009      109                 9.75            0.80           10.55
2005-2009      110+                5.49            0.00            5.49
2010-2013        0             15162.00        19258.00        34420.00
2010-2013        1               993.00         1236.00         2229.00
2010-2013        2               688.00          816.00         1504.00
2010-2013        3               433.00          597.00         1030.00
2010-2013        4               341.00          446.00          787.00
2010-2013        5               291.00          378.00          669.00
2010-2013        6               248.00          345.00          593.00
2010-2013        7               244.00          327.00          571.00
2010-2013        8               210.00          317.00          527.00
2010-2013        9               252.00          300.00          552.00
2010-2013       10               242.00          329.00          571.00
2010-2013       11               246.00          337.00          583.00
2010-2013       12               312.00          440.00          752.00
2010-2013       13               350.00          494.00          844.00
2010-2013       14               404.00          670.00         1074.00
2010-2013       15               544.00          924.00         1468.00
2010-2013       16               621.00         1386.00         2007.00
2010-2013       17               620.00         1720.00         2340.00
2010-2013       18               708.00         1967.00         2675.00
2010-2013       19               690.00         2216.00         2906.00
2010-2013       20               719.00         2332.00         3051.00
2010-2013       21               723.00         2202.00         2925.00
2010-2013       22               634.00         2192.00         2826.00
2010-2013       23               718.00         2126.00         2844.00
2010-2013       24               646.00         2012.00         2658.00
2010-2013       25               692.00         2024.00         2716.00
2010-2013       26               716.00         1975.00         2691.00
2010-2013       27               730.00         1921.00         2651.00
2010-2013       28               779.00         1920.00         2699.00
2010-2013       29               835.00         1923.00         2758.00
2010-2013       30               906.00         2099.00         3005.00
2010-2013       31               971.00         2014.00         2985.00
2010-2013       32              1015.00         2036.00         3051.00
2010-2013       33              1051.00         2059.00         3110.00
2010-2013       34              1103.00         1978.00         3081.00
2010-2013       35              1094.00         2178.00         3272.00
2010-2013       36              1228.00         2131.00         3359.00
2010-2013       37              1261.00         2178.00         3439.00
2010-2013       38              1259.00         2195.00         3454.00
2010-2013       39              1409.00         2272.00         3681.00
2010-2013       40              1452.00         2571.00         4023.00
2010-2013       41              1605.00         2475.00         4080.00
2010-2013       42              1629.00         2687.00         4316.00
2010-2013       43              1699.00         2736.00         4435.00
2010-2013       44              1797.00         2950.00         4747.00
