ARG, Death rates (period 1x10), 	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age             Female            Male           Total
2010-2013       17             0.000457        0.001227        0.000848
2010-2013       18             0.000522        0.001405        0.000971
2010-2013       19             0.000510        0.001588        0.001057
2010-2013       20             0.000533        0.001677        0.001113
2010-2013       21             0.000538        0.001592        0.001072
2010-2013       22             0.000474        0.001597        0.001043
2010-2013       23             0.000541        0.001563        0.001059
2010-2013       24             0.000492        0.001497        0.001000
2010-2013       25             0.000533        0.001526        0.001035
2010-2013       26             0.000557        0.001506        0.001037
2010-2013       27             0.000571        0.001476        0.001028
2010-2013       28             0.000609        0.001477        0.001047
2010-2013       29             0.000648        0.001472        0.001063
2010-2013       30             0.000695        0.001593        0.001146
2010-2013       31             0.000738        0.001518        0.001130
2010-2013       32             0.000771        0.001536        0.001155
2010-2013       33             0.000807        0.001572        0.001190
2010-2013       34             0.000866        0.001546        0.001207
2010-2013       35             0.000886        0.001759        0.001323
2010-2013       36             0.001032        0.001787        0.001410
2010-2013       37             0.001099        0.001897        0.001498
2010-2013       38             0.001136        0.001982        0.001559
2010-2013       39             0.001314        0.002123        0.001718
2010-2013       40             0.001396        0.002481        0.001937
2010-2013       41             0.001588        0.002462        0.002024
2010-2013       42             0.001655        0.002749        0.002200
2010-2013       43             0.001764        0.002866        0.002312
2010-2013       44             0.001897        0.003149        0.002519
2010-2013       45             0.002105        0.003567        0.002831
2010-2013       46             0.002244        0.003748        0.002990
2010-2013       47             0.002630        0.004202        0.003408
2010-2013       48             0.002833        0.004735        0.003771
2010-2013       49             0.003093        0.005081        0.004069
2010-2013       50             0.003313        0.005909        0.004580
2010-2013       51             0.003543        0.006274        0.004868
2010-2013       52             0.003952        0.007017        0.005430
2010-2013       53             0.004282        0.007763        0.005955
2010-2013       54             0.004599        0.008574        0.006503
2010-2013       55             0.005174        0.009824        0.007397
2010-2013       56             0.005505        0.010501        0.007890
2010-2013       57             0.005875        0.011366        0.008493
2010-2013       58             0.006529        0.012631        0.009431
2010-2013       59             0.007061        0.013940        0.010321
2010-2013       60             0.007824        0.015545        0.011469
2010-2013       61             0.008287        0.016870        0.012321
2010-2013       62             0.009377        0.018439        0.013617
2010-2013       63             0.010221        0.019963        0.014759
2010-2013       64             0.011054        0.021441        0.015869
2010-2013       65             0.011875        0.024025        0.017475
2010-2013       66             0.012798        0.025985        0.018837
2010-2013       67             0.014083        0.028018        0.020420
2010-2013       68             0.015102        0.030478        0.022035
2010-2013       69             0.016122        0.032512        0.023437
2010-2013       70             0.017564        0.035653        0.025538
