ARG, Exposure to risk (period 1x5), 	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age             Female            Male           Total
2005-2009       72            609062.95       449287.68      1058350.63
2005-2009       73            592543.18       425539.22      1018082.40
2005-2009       74            574867.26       401399.05       976266.31
2005-2009       75            555570.34       376826.08       932396.41
2005-2009       76            534468.94       351796.16       886265.09
2005-2009       77            511675.76       326980.81       838656.57
2005-2009       78            487243.94       302459.83       789703.77
2005-2009       79            461072.89       277576.10       738648.99
2005-2009       80            432516.93       251700.64       684217.58
2005-2009       81            394800.03       222213.28       617013.30
2005-2009       82            350131.88       190430.81       540562.69
2005-2009       83            306415.14       160254.48       466669.62
2005-2009       84            263947.89       132212.00       396159.89
2005-2009       85            223469.04       106848.62       330317.66
2005-2009       86            191211.93        87042.38       278254.31
2005-2009       87            166617.32        72061.96       238679.28
2005-2009       88            143299.50        58512.79       201812.29
2005-2009       89            121891.20        46733.27       168624.47
2005-2009       90            102927.43        37050.37       139977.80
2005-2009       91             86194.15        29272.57       115466.72
2005-2009       92             70818.83        22918.12        93736.95
2005-2009       93             56569.23        17491.07        74060.30
2005-2009       94             43664.16        12858.22        56522.38
2005-2009       95             32382.26         9161.20        41543.46
2005-2009       96             23091.19         6289.64        29380.83
2005-2009       97             15899.28         4141.51        20040.79
2005-2009       98             10560.01         2625.52        13185.52
2005-2009       99              6758.89         1590.27         8349.16
2005-2009      100              4273.44          949.83         5223.27
2005-2009      101              2625.05          567.50         3192.55
2005-2009      102              1553.83          327.45         1881.28
2005-2009      103               887.28          184.74         1072.02
2005-2009      104               494.64          101.47          596.10
2005-2009      105               265.79           53.09          318.88
2005-2009      106               135.12           25.65          160.77
2005-2009      107                66.30           11.11           77.41
2005-2009      108                31.03            3.57           34.61
2005-2009      109                12.89            0.30           13.19
2005-2009      110+                4.10            0.00            4.10
2010-2013        0           1447192.17      1529317.33      2976509.50
2010-2013        1           1442051.67      1522922.00      2964973.67
2010-2013        2           1428962.67      1508835.83      2937798.50
2010-2013        3           1399840.17      1477855.17      2877695.33
2010-2013        4           1376727.33      1453248.67      2829976.00
2010-2013        5           1365471.17      1441160.50      2806631.67
2010-2013        6           1361223.17      1436544.17      2797767.33
2010-2013        7           1358675.83      1433721.83      2792397.67
2010-2013        8           1349915.33      1424289.33      2774204.67
2010-2013        9           1332607.06      1404129.39      2736736.45
2010-2013       10           1322705.47      1389193.19      2711898.67
2010-2013       11           1324734.68      1385610.03      2710344.71
