"Year","Age","Triangle","Cohort","Population","Deaths"
1992,64,2,1927,115953.19,1447
1992,65,1,1927,111880.35,1708
1992,65,2,1926,110960.21,1545
1992,66,1,1926,106697.59,1669
1992,66,2,1925,105616.06,1502
1992,67,1,1925,101329.46,1795
1992,67,2,1924,100232.66,1608
1992,68,1,1924,95710.06,1798
1992,68,2,1923,94481.44,1602
1992,69,1,1923,89788.04,1924
1992,69,2,1922,88536.17,1707
1992,70,1,1922,83663.46,1987
1992,70,2,1921,82534.13,1757
1992,71,1,1921,77671.04,1905
1992,71,2,1920,76609.43,1678
1992,72,1,1920,71785.96,1893
1992,72,2,1919,70785.43,1663
1992,73,1,1919,66027.64,1727
1992,73,2,1918,65151.13,1517
1992,74,1,1918,60589.44,1761
1992,74,2,1917,59854.59,1549
1992,75,1,1917,55422.11,1808
1992,75,2,1916,54809.89,1591
1992,76,1,1916,50642.37,1798
1992,76,2,1915,50125.12,1582
1992,77,1,1915,46180.72,1834
1992,77,2,1914,45667.87,1615
1992,78,1,1914,41978.34,1874
1992,78,2,1913,41603.44,1648
1992,79,1,1913,38152.85,1920
1992,79,2,1912,38047.49,1677
1992,80,1,1912,34787.78,1830
1992,80,2,1911,34175.38,1586
1992,81,1,1911,30225.44,1711
1992,81,2,1910,29331.5,1470
1992,82,1,1910,25830.61,1637
1992,82,2,1909,25195.71,1396
1992,83,1,1909,22018.05,1532
1992,83,2,1908,21530.4,1294
1992,84,1,1908,18335.96,1441
1992,84,2,1907,17641.53,1206
1992,85,1,1907,15017.62,1248
1992,85,2,1906,14629.71,1030
1992,86,1,1906,12423.69,1146
1992,86,2,1905,12177.68,930
1992,87,1,1905,10186.67,1008
1992,87,2,1904,9931.67,806
1992,88,1,1904,8057.72,932
1992,88,2,1903,7726.78,737
1992,89,1,1903,6042.27,783
1992,89,2,1902,5704.76,610
1992,90,1,1902,4512.34,574
1992,90,2,1901,4372.92,443
1992,91,1,1901,3434.63,520
1992,91,2,1900,3338.34,399
1992,92,1,1900,2457.98,387
1992,92,2,1899,2272.63,296
1992,93,1,1899,1658.59,258
1992,93,2,1898,1537.54,197
1992,94,1,1898,1142.32,212
1992,94,2,1897,1106.1,162
1992,95,1,1897,795.96,151
1992,95,2,1896,763.83,116
1992,96,1,1896,534.05,116
1992,96,2,1895,509.28,89
1992,97,1,1895,352.53,70
1992,97,2,1894,339.79,55
1992,98,1,1894,230.78,58
1992,98,2,1893,221.78,45
1992,99,1,1893,135.08,46
1992,99,2,1892,130.38,37
1992,100,1,1892,74.94,19.85
1992,100,2,1891,72.52,16
1992,101,1,1891,44.28,12.62
1992,101,2,1890,41.84,9.79
1992,102,1,1890,25.09,7.62
1992,102,2,1889,24.01,5.89
1992,103,1,1889,14.02,4.52
1992,103,2,1888,13.35,3.45
1992,104,1,1888,7.45,2.61
1992,104,2,1887,6.95,1.96
1992,105,1,1887,3.76,1.47
1992,105,2,1886,3.63,1.09
1992,106,1,1886,1.88,0.81
1992,106,2,1885,1.82,0.59
1992,107,1,1885,0.61,0.43
1992,107,2,1884,0.31,0.31
1992,108,1,1884,0,0
1992,108,2,1883,0,0
1992,109,1,1883,0,0
1992,109,2,1882,0,0
1992,110,1,1882,0,0
1992,110,2,1881,0,0
1992,111,1,1881,0,0
1992,111,2,1880,0,0
1992,112,1,1880,0,0
1992,112,2,1879,0,0
1992,113,1,1879,0,0
1992,113,2,1878,0,0
1992,114,1,1878,0,0
1992,114,2,1877,0,0
1992,115,1,1877,0,0
1992,115,2,1876,0,0
1992,116,1,1876,0,0
1992,116,2,1875,0,0
1992,117,1,1875,0,0
1992,117,2,1874,0,0
1992,118,1,1874,0,0
1992,118,2,1873,0,0
1992,119,1,1873,0,0
1992,119,2,1872,0,0
1992,120,1,1872,0,0
1992,120,2,1871,0,0
1992,121,1,1871,0,0
1992,121,2,1870,0,0
1992,122,1,1870,0,0
1992,122,2,1869,0,0
1992,123,1,1869,0,0
1992,123,2,1868,0,0
1992,124,1,1868,0,0
1992,124,2,1867,0,0
1992,125,1,1867,0,0
1992,125,2,1866,0,0
1992,126,1,1866,0,0
1992,126,2,1865,0,0
1992,127,1,1865,0,0
1992,127,2,1864,0,0
1992,128,1,1864,0,0
1992,128,2,1863,0,0
1992,129,1,1863,0,0
1992,129,2,1862,0,0
1992,130,1,1862,0,0
1992,130,2,1861,0,0
1993,0,1,1993,343109,7497
1993,0,2,1992,341862.2,1103
1993,1,1,1992,345235.33,419
1993,1,2,1991,348410.08,275
1993,2,1,1991,349267.58,179
1993,2,2,1990,350048.36,125
1993,3,1,1990,352850.51,114
1993,3,2,1989,355809.76,84
1993,4,1,1989,350317.49,81
1993,4,2,1988,345855.81,63
1993,5,1,1988,342089.01,62
1993,5,2,1987,338503.05,51
1993,6,1,1987,336189.97,66
1993,6,2,1986,333623.62,56
1993,7,1,1986,332334.4,62
1993,7,2,1985,330701.19,54
1993,8,1,1985,330262.15,52
1993,8,2,1984,329681.25,47
1993,9,1,1984,330098.94,79
1993,9,2,1983,330716.13,74
1993,10,1,1983,331853.83,66
1993,10,2,1982,333319.04,63
1993,11,1,1982,334764.07,59
1993,11,2,1981,336397.04,57
1993,12,1,1981,338040.37,75
1993,12,2,1980,339720.09,74
1993,13,1,1980,341547.74,79
1993,13,2,1979,343319.95,79
1993,14,1,1979,343551.91,104
1993,14,2,1978,343933.36,104
1993,15,1,1978,340463.6,119
1993,15,2,1977,337704.9,119
1993,16,1,1977,331028.91,151
1993,16,2,1976,325543.03,151
1993,17,1,1976,317965.73,148
1993,17,2,1975,311593.17,147
1993,18,1,1975,304201.02,182
1993,18,2,1974,297790.97,178
1993,19,1,1974,290978.89,212
1993,19,2,1973,284946.98,204
1993,20,1,1973,279688.84,200
1993,20,2,1972,274908.88,190
1993,21,1,1972,271130.79,206
1993,21,2,1971,267619.71,193
1993,22,1,1971,264175.78,208
1993,22,2,1970,261058.49,193
