"Year","Age","Triangle","Cohort","Population","Deaths"
1992,46,1,1946,180382.08,282
1992,46,2,1945,178188.61,267
1992,47,1,1945,175454.81,290
1992,47,2,1944,173320.58,276
1992,48,1,1944,170729.78,307
1992,48,2,1943,168752.68,294
1992,49,1,1943,166486.03,315
1992,49,2,1942,164833.22,302
1992,50,1,1942,162861.16,341
1992,50,2,1941,161534.02,329
1992,51,1,1941,159677.71,363
1992,51,2,1940,158522.88,349
1992,52,1,1940,156714.24,392
1992,52,2,1939,155667.03,376
1992,53,1,1939,154005.63,337
1992,53,2,1938,153107.75,322
1992,54,1,1938,151745.74,406
1992,54,2,1937,151174.45,387
1992,55,1,1937,149980.1,410
1992,55,2,1936,149638.43,390
1992,56,1,1936,148513.71,469
1992,56,2,1935,148297.42,442
1992,57,1,1935,147143.16,504
1992,57,2,1934,146985.61,474
1992,58,1,1934,145740.84,545
1992,58,2,1933,145590.77,511
1992,59,1,1933,144354.99,567
1992,59,2,1932,144291.48,530
1992,60,1,1932,142991.13,621
1992,60,2,1931,142916.68,580
1992,61,1,1931,141496.36,693
1992,61,2,1930,141400.24,645
1992,62,1,1930,139856.64,763
1992,62,2,1929,139734.22,709
1992,63,1,1929,137904,783
1992,63,2,1928,137609.72,726
1992,64,1,1928,135259.35,855
1992,64,2,1927,134610.33,793
1992,65,1,1927,131776.35,871
1992,65,2,1926,130734.96,806
1992,66,1,1926,127678.94,924
1992,66,2,1925,126450.31,854
1992,67,1,1925,123238.54,956
1992,67,2,1924,121899.65,883
1992,68,1,1924,118459.31,1054
1992,68,2,1923,117027.21,973
1992,69,1,1923,113316.66,1164
1992,69,2,1922,111873.13,1074
1992,70,1,1922,107890.1,1186
1992,70,2,1921,106463.16,1093
1992,71,1,1921,102116.39,1225
1992,71,2,1920,100616.12,1127
1992,72,1,1920,96177.39,1289
1992,72,2,1919,95124.46,1184
1992,73,1,1919,90740.25,1241
1992,73,2,1918,90016.25,1137
1992,74,1,1918,85598.75,1355
1992,74,2,1917,84850.89,1239
1992,75,1,1917,80514.22,1475
1992,75,2,1916,79990.83,1344
1992,76,1,1916,75763.01,1567
1992,76,2,1915,75264.16,1424
1992,77,1,1915,71238.97,1698
1992,77,2,1914,70740.34,1539
1992,78,1,1914,66702.34,1843
1992,78,2,1913,66101.69,1664
1992,79,1,1913,62059.41,1875
1992,79,2,1912,61557.62,1681
1992,80,1,1912,58797.48,2003
1992,80,2,1911,57581.86,1783
1992,81,1,1911,52890.9,1958
1992,81,2,1910,51713.95,1731
1992,82,1,1910,46838.16,1956
1992,82,2,1909,45410.36,1717
1992,83,1,1909,40673.54,1902
1992,83,2,1908,39313.71,1660
1992,84,1,1908,34882.54,1858
1992,84,2,1907,33719.37,1608
1992,85,1,1907,29598.87,1759
1992,85,2,1906,28592.37,1506
1992,86,1,1906,24989.79,1706
1992,86,2,1905,24336.2,1443
1992,87,1,1905,20988.29,1614
1992,87,2,1904,20432.38,1349
1992,88,1,1904,17235,1468
1992,88,2,1903,16596.63,1210
1992,89,1,1903,13769.9,1327
1992,89,2,1902,13231.16,1078
1992,90,1,1902,10881.74,1161
1992,90,2,1901,10540.32,930
1992,91,1,1901,8459.16,1069
1992,91,2,1900,8153,845
1992,92,1,1900,6156.34,825
1992,92,2,1899,5647.68,643
1992,93,1,1899,4199.4,616
1992,93,2,1898,3868.12,474
1992,94,1,1898,2935.22,493
1992,94,2,1897,2849.31,373
1992,95,1,1897,2121.7,385
1992,95,2,1896,2054.09,287
1992,96,1,1896,1482.22,274
1992,96,2,1895,1399.35,202
1992,97,1,1895,974.03,213
1992,97,2,1894,905.72,155
1992,98,1,1894,618.82,139
1992,98,2,1893,586.92,100
1992,99,1,1893,380.02,118
1992,99,2,1892,356.13,83
1992,100,1,1892,217.64,54.86
1992,100,2,1891,205.42,43.28
1992,101,1,1891,127.01,33.34
1992,101,2,1890,117.23,25.35
1992,102,1,1890,71.2,19.13
1992,102,2,1889,64.79,14.29
1992,103,1,1889,38.5,10.57
1992,103,2,1888,34.24,7.74
1992,104,1,1888,20.13,5.62
1992,104,2,1887,17.79,4.04
1992,105,1,1887,10.18,2.88
1992,105,2,1886,8.64,2.03
1992,106,1,1886,4.81,1.42
1992,106,2,1885,4,0.99
1992,107,1,1885,2.15,0.68
1992,107,2,1884,1.76,0.47
1992,108,1,1884,0.65,0.32
1992,108,2,1883,0,0
1992,109,1,1883,0,0
1992,109,2,1882,0,0
1992,110,1,1882,0,0
1992,110,2,1881,0,0
1992,111,1,1881,0,0
1992,111,2,1880,0,0
1992,112,1,1880,0,0
1992,112,2,1879,0,0
1992,113,1,1879,0,0
1992,113,2,1878,0,0
1992,114,1,1878,0,0
1992,114,2,1877,0,0
1992,115,1,1877,0,0
1992,115,2,1876,0,0
1992,116,1,1876,0,0
1992,116,2,1875,0,0
1992,117,1,1875,0,0
1992,117,2,1874,0,0
1992,118,1,1874,0,0
1992,118,2,1873,0,0
1992,119,1,1873,0,0
1992,119,2,1872,0,0
1992,120,1,1872,0,0
1992,120,2,1871,0,0
1992,121,1,1871,0,0
1992,121,2,1870,0,0
1992,122,1,1870,0,0
1992,122,2,1869,0,0
1992,123,1,1869,0,0
1992,123,2,1868,0,0
1992,124,1,1868,0,0
1992,124,2,1867,0,0
1992,125,1,1867,0,0
1992,125,2,1866,0,0
1992,126,1,1866,0,0
1992,126,2,1865,0,0
1992,127,1,1865,0,0
1992,127,2,1864,0,0
1992,128,1,1864,0,0
1992,128,2,1863,0,0
1992,129,1,1863,0,0
1992,129,2,1862,0,0
1992,130,1,1862,0,0
1992,130,2,1861,0,0
1993,0,1,1993,324123,5659
1993,0,2,1992,324627.41,929
1993,1,1,1992,328707.44,330
1993,1,2,1991,331757.65,234
1993,2,1,1991,334722.52,158
1993,2,2,1990,336977.96,117
1993,3,1,1990,340880.53,84
1993,3,2,1989,344736.6,65
1993,4,1,1989,339217.84,56
1993,4,2,1988,334729.45,45
1993,5,1,1988,331007.5,53
1993,5,2,1987,327432.2,43
1993,6,1,1987,325217.33,48
1993,6,2,1986,322676.9,40
1993,7,1,1986,321562.43,38
1993,7,2,1985,319987.76,32
1993,8,1,1985,319758.55,37
1993,8,2,1984,319253.79,32
1993,9,1,1984,319913.47,58
1993,9,2,1983,320623.37,52
1993,10,1,1983,322049.3,37
1993,10,2,1982,323634.21,33
1993,11,1,1982,325405.45,31
1993,11,2,1981,327182.02,28
1993,12,1,1981,329155.91,57
1993,12,2,1980,330981.95,53
1993,13,1,1980,333154.52,44
1993,13,2,1979,335080.13,41
1993,14,1,1979,335674.98,59
1993,14,2,1978,336207.34,55
1993,15,1,1978,333107.9,88
1993,15,2,1977,330520.83,81
1993,16,1,1977,324235.41,74
1993,16,2,1976,318913.75,69
1993,17,1,1976,311724.51,77
1993,17,2,1975,305474.68,72
1993,18,1,1975,298504.84,65
1993,18,2,1974,292227.43,61
1993,19,1,1974,285843.62,81
1993,19,2,1973,279905.13,76
1993,20,1,1973,275004.49,82
1993,20,2,1972,270257.34,78
1993,21,1,1972,266790.29,83
1993,21,2,1971,263285.93,79
1993,22,1,1971,260149.17,90
1993,22,2,1970,257036.88,86
1993,23,1,1970,253745.64,94
